Movie ID,Movie Title,Unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,(500) Days of Summer (2009),0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,10 Cloverfield Lane (2016),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,"10,000 BC (2008)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,12 Years a Slave (2013),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,127 Hours (2010),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5,13 Going on 30 (2004),0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
6,1408 (2007),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
7,15 Minutes (2001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,16 Blocks (2006),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,17 Again (2009),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11,2012 (2009),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
12,2046 (2004),0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
13,21 (2008),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
14,21 Grams (2003),0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0
15,21 Jump Street (2012),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,22 Jump Street (2014),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,24 Hour Party People (2002),0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
18,25th Hour (2002),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19,27 Dresses (2008),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20,28 Days Later (2002),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21,28 Weeks Later (2007),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
22,3 Idiots (2009),0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
23,3-Iron (Bin-jip) (2004),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
24,30 Days of Night (2007),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
25,300 (2007),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
26,3000 Miles to Graceland (2001),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,300: Rise of an Empire (2014),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
28,3:10 to Yuma (2007),0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
29,40 Days and 40 Nights (2002),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
30,"40-Year-Old Virgin, The (2005)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
31,50 First Dates (2004),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,50/50 (2011),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
33,8 Mile (2002),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,9 (2009),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,A Million Ways to Die in the West (2014),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36,"A-Team, The (2010)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,A.I. Artificial Intelligence (2001),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
38,AVP: Alien vs. Predator (2004),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
39,AVPR: Aliens vs. Predator - Requiem (2007),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40,About Schmidt (2002),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
41,About Time (2013),0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
42,About a Boy (2002),0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
43,Abraham Lincoln: Vampire Hunter (2012),0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
44,Accepted (2006),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Across the Universe (2007),0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
46,Adaptation (2002),0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
47,"Adjustment Bureau, The (2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
48,Adventureland (2009),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
49,"Adventures of Tintin, The (2011)",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,Aeon Flux (2005),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,After Earth (2013),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
